City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
8584,puerto colombia,0,CO,1612760845,78,10.9878,-74.9547,297.15,5.14
5832,saint george,1,US,1612761289,26,37.1041,-113.5841,283.15,1.54
9587,kununurra,40,AU,1612761043,59,-15.7667,128.7333,307.15,5.14
2061,souillac,40,MU,1612761291,62,-20.5167,57.5167,303.15,5.14
9525,esperance,75,AU,1612761293,37,-33.8667,121.9,304.15,9.77
2019307,jinji,52,CN,1612761047,10,23.2281,110.8261,297.59,3.85
2020865,rio grande,31,BR,1612761295,92,-32.035,-52.0986,291.48,4.93
1943,saldanha,0,ZA,1612761296,77,-33.0117,17.9442,290.15,4.63
776,clyde river,1,CA,1612761297,84,70.4692,-68.5914,252.15,5.14
2012467,hof,100,DE,1612761051,88,50.3167,11.9167,263.71,4.92
8926,nikolskoye,40,RU,1612761298,85,59.7035,30.7861,260.37,3
8047,kamaishi,75,JP,1612760831,86,39.2667,141.8833,270.15,3.6
2007784,corowa,69,AU,1612761053,44,-36.0333,146.3833,302.04,0.89
7106,praxedis guerrero,1,MX,1612761054,11,31.3667,-106.0167,291.15,5.66
1750,skara,10,SE,1612761054,85,58.3866,13.4384,265.15,3.17
6717,porto torres,40,IT,1612761057,71,40.835,8.3972,284.15,4.12
9269,ranong,20,TH,1612761060,55,9.9658,98.6348,305.15,3.09
812,havre-saint-pierre,75,CA,1612761060,85,50.2334,-63.5986,263.15,3.09
2127,saint-philippe,0,RE,1612761201,54,-21.3585,55.7679,303.15,1.54
2008291,ponta do sol,40,PT,1612761312,77,32.6667,-17.1,287.59,1.34
8391,cabedelo,20,BR,1612761312,89,-6.9811,-34.8339,299.15,2.06
2827,avera,1,US,1612761314,85,33.194,-82.5271,274.82,2.52
2010353,necochea,47,AR,1612761066,76,-38.5473,-58.7368,287.59,4.47
8691,pisco,20,PE,1612761315,83,-13.7,-76.2167,295.15,4.12
3598,palmer,40,US,1612761315,58,42.1584,-72.3287,268.15,5.66
3417,bellevue,75,US,1612761067,81,47.6104,-122.2007,278.71,1.54
8927,verkhnetulomskiy,40,RU,1612761069,86,68.6073,31.7962,266.15,4
8074,katsuura,75,JP,1612761156,45,35.1333,140.3,282.59,4.12
6129,ukiah,1,US,1612761322,61,39.1502,-123.2078,283.15,0.76
2462,praya,75,CV,1612761074,68,14.9215,-23.5087,292.15,8.75
83,husavik,90,IS,1612761075,80,66.0449,-17.3389,271.15,1.54
8934,svetlyy,0,RU,1612761075,78,54.675,20.1347,259.15,6
2002134,cap malheureux,8,MU,1612761077,71,-19.9842,57.6142,302.04,3.13
2010964,otane,16,NZ,1612761077,53,-39.8833,176.6333,297.59,2.24
6963,talas,0,TR,1612761077,86,38.6908,35.5538,273.15,2.06
1606,alta,75,NO,1612761078,63,69.9689,23.2717,270.15,6.17
9487,yulara,0,AU,1612760969,16,-25.2406,130.9889,308.15,3.6
2005965,northam,94,GB,1612761079,76,51.0333,-4.2167,274.82,6.26
7562,salalah,20,OM,1612761328,57,17.0151,54.0924,297.15,4.12
6813,lasa,90,IT,1612761080,80,46.6166,10.7002,274.82,3.09
2020402,okato,70,NZ,1612761080,53,-39.2,173.8833,294.82,2.24
2006763,siparia,46,TT,1612761081,90,10.1333,-61.5,297.04,5.24
8156,nishihara,40,JP,1612761330,42,26.1842,127.7558,295.15,7.72
2900,grants pass,90,US,1612761083,93,42.439,-123.3284,276.48,0.79
9495,mount isa,75,AU,1612761085,52,-20.7333,139.5,306.15,4.63
6710,locri,90,IT,1612761086,76,38.2414,16.2623,286.15,3.09
6016,ingham,1,US,1612761087,85,42.6,-84.3833,256.48,2.34
8682,san isidro,0,PE,1612761088,88,-12.1167,-77.05,296.48,4.12
7426,riyadh,0,SA,1612760912,72,24.6877,46.7219,287.15,5.14
1011,port hardy,75,CA,1612761338,80,50.6996,-127.4199,277.15,3.6
